iter	Passed	Remaining
0	1	120
1	2	104
2	2	93
3	3	88
4	4	87
5	5	84
6	7	96
7	8	97
8	9	94
9	10	90
10	11	89
11	11	87
12	12	85
13	13	84
14	14	82
15	15	81
16	16	79
17	17	78
18	18	78
19	19	76
20	19	75
21	20	74
22	22	75
23	23	75
24	24	74
25	25	73
26	26	72
27	27	70
28	28	69
29	29	67
30	30	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	38	59
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	45
54	54	44
55	55	43
56	56	42
57	57	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
