iter	Passed	Remaining
0	135	135264
1	137	68851
2	139	46234
3	140	34925
4	141	28132
5	142	23559
6	143	20292
7	143	17850
8	144	15941
9	147	14555
10	148	13342
11	149	12313
12	152	11553
13	153	10803
14	154	10148
15	155	9565
16	156	9044
17	157	8580
18	158	8178
19	159	7826
20	160	7488
21	161	7195
22	162	6922
23	164	6693
24	165	6457
25	166	6233
26	167	6035
27	168	5858
28	169	5679
29	170	5513
30	171	5354
31	172	5208
32	173	5069
33	173	4941
34	174	4816
35	175	4698
36	176	4586
37	177	4482
38	177	4383
39	178	4293
40	179	4204
41	180	4128
42	181	4047
43	182	3975
44	183	3900
45	184	3831
46	186	3775
47	187	3713
48	188	3652
49	189	3593
50	190	3536
51	190	3481
52	191	3426
53	193	3381
54	194	3334
55	195	3288
56	196	3246
57	197	3204
58	198	3160
59	199	3119
60	199	3077
61	200	3039
62	201	2999
63	202	2962
64	203	2927
65	204	2893
66	205	2859
67	206	2827
68	207	2796
69	208	2773
70	209	2745
71	210	2717
72	211	2690
73	212	2664
74	213	2637
75	214	2610
76	215	2585
77	216	2560
78	217	2534
79	218	2509
80	218	2483
81	219	2460
82	220	2432
83	220	2409
84	221	2388
85	222	2367
86	223	2350
87	225	2332
88	226	2313
89	227	2297
90	228	2281
91	229	2264
92	230	2247
93	231	2230
94	232	2213
95	233	2197
96	234	2180
97	234	2162
98	235	2146
99	236	2130
100	237	2118
101	239	2106
102	240	2095
103	242	2090
104	243	2077
105	244	2064
106	246	2053
107	247	2042
108	248	2029
109	249	2016
110	250	2003
111	251	1991
112	253	1990
113	254	1980
114	256	1971
115	257	1960
116	258	1948
117	259	1938
118	260	1928
119	261	1918
120	262	1909
121	263	1897
122	264	1888
123	265	1877
124	266	1867
125	268	1859
126	269	1854
127	271	1846
128	272	1837
129	273	1828
130	274	1823
131	275	1814
132	276	1804
133	277	1796
134	279	1788
135	280	1779
136	281	1770
137	282	1762
138	284	1761
139	285	1754
140	286	1746
141	287	1739
142	289	1732
143	290	1724
144	290	1715
145	291	1707
146	292	1699
147	293	1691
148	294	1683
149	296	1677
150	297	1670
151	298	1665
152	299	1658
153	300	1651
154	302	1646
155	303	1639
156	304	1632
157	305	1625
158	306	1619
159	307	1613
160	307	1604
161	308	1598
162	309	1591
163	310	1584
164	311	1578
165	313	1573
166	315	1571
167	316	1566
168	317	1560
169	318	1554
170	319	1550
171	320	1544
172	321	1538
173	322	1532
174	323	1526
175	324	1520
176	325	1515
177	326	1509
178	328	1505
179	329	1501
180	330	1495
181	331	1490
182	332	1485
183	333	1479
184	334	1474
185	335	1468
186	336	1462
187	337	1457
188	338	1452
189	339	1446
190	340	1441
191	341	1437
192	342	1432
193	343	1428
194	344	1423
195	346	1419
196	347	1415
197	348	1410
198	349	1406
199	350	1402
200	351	1398
201	353	1394
202	354	1391
203	355	1387
204	357	1384
205	358	1380
206	359	1376
207	360	1372
208	361	1368
209	362	1364
210	363	1360
211	364	1356
212	366	1354
213	367	1349
214	368	1346
215	370	1344
216	371	1342
217	374	1342
218	375	1339
219	377	1336
220	378	1333
221	379	1331
222	381	1330
223	382	1326
224	384	1324
225	385	1321
226	387	1319
227	389	1317
228	391	1316
229	392	1314
230	411	1371
231	414	1370
232	418	1376
233	420	1375
234	425	1386
235	427	1385
236	430	1384
237	432	1384
238	434	1381
239	435	1379
240	437	1376
241	438	1374
242	444	1384
243	445	1381
244	448	1380
245	450	1381
246	456	1390
247	458	1388
248	459	1385
249	460	1382
250	463	1383
251	465	1382
252	471	1392
253	473	1391
254	476	1392
255	478	1389
256	480	1388
257	483	1389
258	486	1392
259	491	1398
260	492	1395
261	494	1392
262	495	1389
263	503	1403
264	504	1400
265	506	1397
266	508	1395
267	509	1392
268	511	1389
269	514	1390
270	517	1391
271	518	1388
272	520	1385
273	521	1382
274	523	1380
275	525	1377
276	527	1376
277	529	1374
278	530	1371
279	532	1368
280	534	1366
281	535	1363
282	536	1359
283	538	1356
284	539	1353
285	542	1354
286	545	1354
287	547	1352
288	548	1350
289	550	1347
290	552	1346
291	554	1344
292	557	1345
293	559	1342
294	560	1339
295	561	1336
296	563	1333
297	564	1329
298	565	1325
299	566	1322
300	569	1322
301	574	1326
302	582	1340
303	584	1339
304	586	1336
305	587	1333
306	589	1330
307	590	1327
308	592	1323
309	593	1320
310	594	1317
311	595	1314
312	597	1311
313	599	1309
314	600	1306
315	602	1303
316	603	1300
317	604	1297
318	606	1295
319	608	1292
320	609	1289
321	611	1287
322	612	1284
323	614	1282
324	616	1280
325	617	1277
326	619	1275
327	621	1273
328	622	1270
329	624	1268
330	626	1265
331	627	1262
332	628	1259
333	630	1256
334	631	1254
335	633	1252
336	634	1249
337	636	1246
338	638	1245
339	640	1243
340	642	1242
341	644	1240
342	647	1240
343	649	1239
344	651	1237
345	653	1236
346	656	1234
347	658	1233
348	660	1231
349	662	1231
350	665	1229
351	667	1228
352	669	1226
353	670	1224
354	672	1221
355	675	1222
356	678	1222
357	680	1220
358	681	1217
359	683	1215
360	685	1212
361	686	1210
362	688	1207
363	689	1204
364	690	1201
365	692	1199
366	694	1197
367	695	1195
368	697	1193
369	699	1190
370	700	1188
371	702	1186
372	704	1183
373	706	1181
374	707	1179
375	709	1176
376	710	1174
377	712	1171
